Date	Value
2014-04-07	1000.0
2014-04-11	1100.0
2014-04-14	1200.0
2014-04-26	6200.0
2014-04-26	6400.0
2014-04-28	6500.0
2014-04-28	6600.0
2014-04-28	6675.0
2014-04-28	6775.0
2014-04-28	7025.0
2014-05-16	7525.0
2014-05-19	7575.0
2014-05-23	7625.0
2014-05-26	7650.0
2014-05-26	7750.0
2014-05-27	8750.0
2014-05-29	8800.0
2014-06-02	8850.0
2014-06-05	8950.0
2014-06-05	9950.0
2014-06-05	10000.0
2014-06-05	10100.0
2014-06-09	10200.0
2014-06-09	10250.0
2014-06-09	10300.0
2014-06-10	10350.0
2014-06-11	10375.0
2014-06-11	10475.0
2014-06-11	10675.0
2014-06-11	10875.0
2014-06-11	11375.0
2014-06-11	11425.0
2014-06-16	11475.0
2014-06-17	11575.0
2014-06-17	14575.0
2014-06-17	20575.0
2014-06-17	20675.0
2014-06-17	20775.0
2014-06-17	20825.0
2014-06-18	20925.0
2014-06-19	21225.0
2014-06-19	21345.0
2014-06-22	21445.0
2014-06-22	21545.0
2014-06-22	21595.0
2014-06-22	21645.0
2014-06-24	21695.0
2014-06-25	21745.0
2014-06-25	21845.0
2014-06-27	21945.0
2014-06-29	22945.0
2014-06-29	23045.0
2014-06-29	28045.0
2014-07-03	28195.0
2014-07-04	28205.0
2014-07-09	28255.0
2014-07-14	28355.0
2014-07-14	28383.0
2014-07-15	28883.0
2014-07-16	28983.0
2014-07-20	29033.0
2014-07-20	29083.0
2014-07-20	29133.0
2014-07-23	30133.0
2014-07-23	30173.0
2014-07-23	30973.0
2014-07-23	31173.0
2014-07-23	31273.0
2014-07-23	31523.0
2014-07-23	31573.0
2014-07-24	31073.0
2014-07-25	31123.0
2014-07-27	31173.0
2014-07-29	31673.0
2014-07-29	31703.0
2014-07-31	31803.0
2014-07-31	31903.0
2014-08-02	32101.0
2014-08-02	32201.0
2014-08-02	32451.0
2014-08-02	33201.0
2014-08-03	33251.0
2014-08-03	33301.0
2014-08-03	33801.0
2014-08-03	33851.0
2014-08-04	33959.0
2014-08-04	34159.0
2014-08-04	34259.0
2014-08-04	34359.0
2014-08-04	34859.0
2014-08-04	34909.0
2014-08-04	35009.0
2014-08-04	35109.0
2014-08-04	35359.0
2014-08-04	35609.0
2014-08-04	35859.0
2014-08-04	35909.0
2014-08-05	36009.0
2014-08-05	36109.0
2014-08-08	38109.0
2014-08-08	40109.0
2014-08-08	40209.0
2014-08-08	40459.0
2014-08-13	40559.0
2014-08-14	40587.0
2014-08-14	40426.0
2014-08-15	40476.0
2014-08-16	40526.0
2014-08-16	40626.0
2014-08-16	41126.0
2014-08-17	41626.0
2014-08-17	41726.0
2014-08-17	41826.0
2014-08-17	42076.0
2014-08-17	42126.0
2014-08-18	42226.0
2014-08-19	42326.0
2014-08-20	42576.0
2014-08-20	42626.0
2014-08-21	42651.0
2014-08-22	42751.0
2014-08-25	43751.0
2014-08-25	43801.0
2014-08-26	44051.0
2014-08-26	44101.0
2014-08-27	44201.0
2014-08-29	44251.0
2014-08-30	44301.0
2014-08-31	44306.0
2014-09-01	44806.0
2014-09-02	44906.0
2014-09-02	45006.0
2014-09-02	45106.0
2014-09-02	45156.0
2014-09-02	45256.0
2014-09-02	45306.0
2014-09-02	45356.0
2014-09-03	45856.0
2014-09-03	45956.0
2014-09-05	46456.0
2014-09-05	46706.0
2014-09-05	46756.0
2014-09-05	46806.0
2014-09-06	47056.0
2014-09-06	47156.0
2014-09-06	47256.0
2014-09-06	47356.0
2014-09-06	47406.0
2014-09-06	48406.0
2014-09-06	49406.0
2014-09-06	49456.0
2014-09-07	49556.0
2014-09-07	50056.0
2014-09-07	50556.0
2014-09-07	50606.0
2014-09-07	50706.0
2014-09-07	50806.0
2014-09-07	50906.0
2014-09-08	51256.0
2014-09-08	51306.0
2014-09-08	51556.0
2014-09-08	52056.0
2014-09-08	52156.0
2014-09-08	52256.0
2014-09-09	52306.0
2014-09-09	52406.0
2014-09-09	52506.0
2014-09-09	52816.0
2014-09-09	52866.0
2014-09-10	52966.0
2014-09-10	53016.0
2014-09-11	53216.0
2014-09-11	53341.0
2014-09-11	56341.0
2014-09-11	56391.0
2014-09-11	56441.0
2014-09-12	56541.0
2014-09-12	57041.0
2014-09-12	58041.0
2014-09-13	58191.0
2014-09-14	58291.0
2014-09-14	58541.0
2014-09-14	58569.0
2014-09-14	58769.0
2014-09-14	59019.0
2014-09-14	59169.0
2014-09-15	59269.0
2014-09-15	59294.0
2014-09-15	59444.0
2014-09-15	59544.0
2014-09-15	59644.0
2014-09-15	59744.0
2014-09-16	59769.0
2014-09-16	60769.0
2014-09-16	60869.0
2014-09-16	60919.0
2014-09-16	60969.0
2014-09-16	61019.0
2014-09-17	61069.0
2014-09-17	61169.0
2014-09-17	61219.0
2014-09-17	61469.0
2014-09-17	61519.0
2014-09-18	61769.0
2014-09-18	61894.0
2014-09-19	61944.0
2014-09-19	62044.0
2014-09-19	62094.0
2014-09-19	62119.0
2014-09-19	62219.0
2014-09-19	62269.0
2014-09-19	62334.0
2014-09-19	62349.0
2014-09-20	62449.0
2014-09-20	62649.0
2014-09-20	62749.0
2014-09-20	63256.0
2014-09-20	63356.0
2014-09-21	63456.0
2014-09-21	64456.0
2014-09-22	64556.0
2014-09-22	64606.0
2014-09-22	64656.0
2014-09-22	64706.0
2014-09-23	64806.0
2014-09-23	64856.0
2014-09-23	65356.0
2014-09-23	65456.0
2014-09-23	65506.0
2014-09-25	65656.0
2014-09-25	65706.0
2014-09-25	65756.0
2014-09-25	65806.0
2014-09-25	65881.0
2014-09-25	65931.0
2014-09-25	66031.0
2014-09-26	66131.0
2014-09-26	66181.0
2014-09-26	66256.0
2014-09-26	66356.0
2014-09-26	66856.0
2014-09-26	67006.0
2014-09-26	67056.0
2014-09-26	67156.0
2014-09-26	67656.0
2014-09-26	67856.0
2014-09-26	68106.0
2014-09-26	68206.0
2014-09-26	68256.0
2014-09-26	68506.0
2014-09-26	69006.0
2014-09-26	69106.0
2014-09-26	69156.0
2014-09-26	69206.0
2014-09-26	70206.0
2014-09-26	70306.0
2014-09-26	70356.0
2014-09-27	70376.0
2014-09-27	70396.0
2014-09-27	70446.0
2014-09-27	70466.0
2014-09-27	70516.0
2014-09-27	70566.0
2014-09-27	70816.0
2014-09-27	71066.0
2014-09-27	71166.0
2014-09-27	71416.0
2014-09-27	71466.0
2014-09-27	71566.0
2014-09-27	71816.0
2014-09-27	71836.0
2014-09-27	71856.0
2014-09-27	71956.0
2014-09-28	72306.0
2014-09-28	72456.0
2014-09-28	72506.0
2014-09-29	72556.0
2014-09-29	76556.0
2014-09-29	76656.0
2014-09-29	76756.0
2014-09-30	77756.0
2014-09-30	78256.0
2014-09-30	78306.0
2014-09-30	78556.0
2014-09-30	78806.0
2014-09-30	78906.0
2014-10-02	79156.0
2014-10-02	79256.0
2014-10-02	79331.0
2014-10-03	79531.0
2014-10-04	79781.0
2014-10-05	79881.0
2014-10-05	80381.0
2014-10-05	80431.0
2014-10-05	80481.0
2014-10-05	80531.0
2014-10-05	80581.0
2014-10-05	80656.0
2014-10-06	81156.0
2014-10-06	81256.0
2014-10-06	81506.0
2014-10-07	104506.0
2014-10-07	104606.0
2014-10-07	119606.0
2014-10-07	120606.0
2014-10-07	120656.0
2014-10-07	120706.0
2014-10-07	120806.0
2014-10-07	121056.0
2014-10-08	121106.0
2014-10-08	121156.0
2014-10-08	121206.0
2014-10-08	121306.0
2014-10-08	121406.0
2014-10-08	121456.0
2014-10-09	121756.0
2014-10-09	121856.0
2014-10-09	121956.0
2014-10-09	122056.0
2014-10-09	122156.0
2014-10-10	122281.0
2014-10-10	122331.0
2014-10-10	122381.0
2014-10-10	122431.0
2014-10-11	122531.0
2014-10-11	122631.0
2014-10-11	123131.0
2014-10-11	123381.0
2014-10-11	123481.0
2014-10-11	123531.0
2014-10-12	123631.0
2014-10-12	123731.0
2014-10-12	123736.0
2014-10-12	124236.0
2014-10-13	124486.0
2014-10-13	124586.0
2014-10-13	125586.0
2014-10-14	125686.0
2014-10-14	125736.0
2014-10-14	125764.0
2014-10-14	125909.0
2014-10-14	126109.0
2014-10-14	126159.0
2014-10-15	126659.0
2014-10-15	211659.0
2014-10-15	211909.0
2014-10-15	212159.0
2014-10-15	212359.0
2014-10-15	212459.0
2014-10-16	212559.0
2014-10-17	212659.0
2014-10-17	212759.0
2014-10-17	212809.0
2014-10-18	212909.0
2014-10-18	212959.0
